story_number,general_question,analysts,intersection,union,total_union,total_intersection
26,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.3', 'V5.1.5', 'V5.2.6']; victor: ['V5.1.3']",V5.1.3,"V5.1.3, V5.1.5, V5.2.6",3,1
26,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V13.1.3', 'V4.2.1', 'V8.3.1']; marcelo: ['V8.3.4']",,"V13.1.3, V4.2.1, V8.3.1, V8.3.4",4,0
26,Does the user story involve some token?,"daniel: ['V3.1.1', 'V3.2.3', 'V3.3.1', 'V3.4.1', 'V3.4.3']",,"V3.1.1, V3.2.3, V3.3.1, V3.4.1, V3.4.3",5,0
26,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
27,Does the user story involve the implementation/change of some system authentication?,"daniel: ['V2.2.1', 'V2.2.2', 'V2.5.5']; tulio: ['V8.2.3']",,"V2.2.1, V2.2.2, V2.5.5, V8.2.3",4,0
27,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.3', 'V5.1.4', 'V5.2.6']; marcelo: ['V5.1.3']; tulio: ['V5.1.3']; victor: ['V5.1.3', 'V5.1.4']",V5.1.3,"V5.1.3, V5.1.4, V5.2.6",3,1
27,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V13.1.1', 'V3.7.1', 'V4.2.1', 'V8.3.1', 'V8.3.4']; marcelo: ['V8.3.4']; tulio: ['V3.7.1']; victor: ['V13.1.1', 'V13.1.3', 'V3.7.1', 'V4.2.1', 'V8.3.1', 'V8.3.3', 'V8.3.4']",,"V13.1.1, V13.1.3, V3.7.1, V4.2.1, V8.3.1, V8.3.3, V8.3.4",7,0
27,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
27,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']",,"V5.3.1, V5.3.3, V5.3.4",3,0
27,Does the user story implementation involve some data serialization or deserialization?,"daniel: ['V5.5.3', 'V5.5.4']; victor: ['V5.5.1', 'V5.5.3', 'V5.5.4']","V5.5.3, V5.5.4","V5.5.1, V5.5.3, V5.5.4",3,2
27,Does the user story involve some token?,"daniel: ['V3.1.1', 'V3.2.3', 'V3.4.1', 'V3.4.3']; tulio: ['V3.3.2']; victor: ['V3.1.1', 'V3.2.2', 'V3.2.3', 'V3.3.1', 'V3.3.2', 'V3.4.1', 'V3.4.2', 'V3.4.3', 'V3.4.4', 'V3.4.5']",,"V3.1.1, V3.2.2, V3.2.3, V3.3.1, V3.3.2, V3.4.1, V3.4.2, V3.4.3, V3.4.4, V3.4.5",10,0
28,Does the user story involve the implementation/change of some system authentication?,"daniel: ['V2.2.1', 'V2.5.5']",,"V2.2.1, V2.5.5",2,0
28,Does the user story implementation involve some administrative interface?,tulio: ['V4.3.1'],,V4.3.1,1,0
28,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.3', 'V5.1.5']; victor: ['V5.1.3']",V5.1.3,"V5.1.3, V5.1.5",2,1
28,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']","V5.3.1, V5.3.3","V5.3.1, V5.3.2, V5.3.3, V5.3.4",4,2
28,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
28,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V13.1.3', 'V4.2.1', 'V8.3.1']; tulio: ['V13.1.3', 'V3.7.1']",V13.1.3,"V13.1.3, V3.7.1, V4.2.1, V8.3.1",4,1
28,Does the user story involve some token?,"daniel: ['V3.1.1', 'V3.4.1', 'V3.4.2', 'V3.4.3']; tulio: ['V3.3.2']",,"V3.1.1, V3.3.2, V3.4.1, V3.4.2, V3.4.3",5,0
29,Does the user story involve some token?,"daniel: ['V3.1.1', 'V3.2.3', 'V3.4.1', 'V3.4.2', 'V3.4.3']; tulio: ['V3.3.2']",,"V3.1.1, V3.2.3, V3.3.2, V3.4.1, V3.4.2, V3.4.3",6,0
29,Does the user story involve the implementation/change of some system authentication?,daniel: ['V2.5.5']; tulio: ['V8.2.3'],,"V2.5.5, V8.2.3",2,0
29,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V3.7.1', 'V4.2.1', 'V8.3.1', 'V8.3.3']; marcelo: ['V3.7.1']; tulio: ['V3.7.1']; victor: ['V13.1.1', 'V13.1.3', 'V3.7.1', 'V4.2.1', 'V8.3.1', 'V8.3.3', 'V8.3.4']",V3.7.1,"V13.1.1, V13.1.3, V3.7.1, V4.2.1, V8.3.1, V8.3.3, V8.3.4",7,1
29,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
29,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']",,"V5.3.1, V5.3.3, V5.3.4",3,0
29,Does the user story implementation involve input from the client or the environment?,"daniel: ['V12.4.1', 'V5.1.3', 'V5.1.4', 'V5.1.5']; tulio: ['V5.1.3']; victor: ['V5.1.3', 'V5.1.4']",V5.1.3,"V12.4.1, V5.1.3, V5.1.4, V5.1.5",4,1
30,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V4.2.1', 'V8.3.1', 'V8.3.3', 'V8.3.4']; victor: ['V13.1.1', 'V13.1.3', 'V3.7.1', 'V4.2.1', 'V8.3.1', 'V8.3.3', 'V8.3.4']","V4.2.1, V8.3.1, V8.3.3, V8.3.4","V13.1.1, V13.1.3, V3.7.1, V4.2.1, V8.3.1, V8.3.3, V8.3.4",7,4
30,Does the user story involve some token?,"daniel: ['V3.4.1', 'V3.4.2', 'V3.4.3']",,"V3.4.1, V3.4.2, V3.4.3",3,0
30,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']","V5.3.1, V5.3.3","V5.3.1, V5.3.2, V5.3.3",3,2
30,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.3', 'V5.1.4', 'V5.1.5']; tulio: ['V5.1.3']; victor: ['V5.1.3', 'V5.1.4']",V5.1.3,"V5.1.3, V5.1.4, V5.1.5",3,1
30,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
31,Does the user story involve some token?,"daniel: ['V3.3.1', 'V3.4.1', 'V3.4.2', 'V3.4.3']; tulio: ['V3.3.2']",,"V3.3.1, V3.3.2, V3.4.1, V3.4.2, V3.4.3",5,0
31,Does the user story implementation involve some administrative interface?,daniel: ['V4.3.1']; tulio: ['V4.3.1']; victor: ['V4.3.1'],V4.3.1,V4.3.1,1,1
31,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
31,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']","V5.3.1, V5.3.3","V5.3.1, V5.3.2, V5.3.3, V5.3.4",4,2
31,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.1', 'V5.1.3', 'V5.2.6']; victor: ['V5.1.3']",V5.1.3,"V5.1.1, V5.1.3, V5.2.6",3,1
31,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V13.1.3', 'V4.2.1']; tulio: ['V13.1.3', 'V3.7.1']",V13.1.3,"V13.1.3, V3.7.1, V4.2.1",3,1
32,Does the user story involve some token?,"daniel: ['V3.1.1', 'V3.4.1', 'V3.4.2', 'V3.4.3']; tulio: ['V3.3.2']",,"V3.1.1, V3.3.2, V3.4.1, V3.4.2, V3.4.3",5,0
32,Does the user story implementation involve some administrative interface?,daniel: ['V4.3.1']; tulio: ['V4.3.1']; victor: ['V4.3.1'],V4.3.1,V4.3.1,1,1
32,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V13.1.3', 'V4.2.1', 'V8.3.4']; tulio: ['V3.7.1']",,"V13.1.3, V3.7.1, V4.2.1, V8.3.4",4,0
32,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']; tulio: ['V5.3.3']",V5.3.3,"V5.3.1, V5.3.3, V5.3.4",3,1
32,Does the user story implementation involve input from the client or the environment?,"daniel: ['V12.3.1', 'V12.4.1', 'V5.1.3', 'V5.2.1', 'V5.2.6']; marcelo: ['V5.1.3']; victor: ['V5.1.3']",V5.1.3,"V12.3.1, V12.4.1, V5.1.3, V5.2.1, V5.2.6",5,1
32,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
33,Does the user story involve some token?,"daniel: ['V3.4.1', 'V3.4.2', 'V3.4.3']",,"V3.4.1, V3.4.2, V3.4.3",3,0
33,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.3', 'V5.2.6']; victor: ['V5.1.3']",V5.1.3,"V5.1.3, V5.2.6",2,1
33,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V13.1.3', 'V4.2.1']",,"V13.1.3, V4.2.1",2,0
33,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']; tulio: ['V5.3.3']; victor: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4']",V5.3.3,"V5.3.1, V5.3.2, V5.3.3, V5.3.4",4,1
33,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
34,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']","V5.3.1, V5.3.3","V5.3.1, V5.3.2, V5.3.3, V5.3.4",4,2
34,Does the user story implementation involve input from the client or the environment?,"daniel: ['V12.3.1', 'V12.4.1', 'V5.1.3', 'V5.2.1', 'V5.2.6']; victor: ['V5.1.3']",V5.1.3,"V12.3.1, V12.4.1, V5.1.3, V5.2.1, V5.2.6",5,1
34,Does the user story implementation involve some administrative interface?,daniel: ['V4.3.1'],,V4.3.1,1,0
34,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V3.7.1', 'V4.2.1', 'V8.3.1', 'V8.3.4']; tulio: ['V3.7.1', 'V8.3.1']; victor: ['V13.1.1', 'V13.1.3', 'V3.7.1', 'V4.2.1', 'V8.3.1', 'V8.3.3', 'V8.3.4']","V3.7.1, V8.3.1","V13.1.1, V13.1.3, V3.7.1, V4.2.1, V8.3.1, V8.3.3, V8.3.4",7,2
34,Does the user story involve some token?,"daniel: ['V3.1.1', 'V3.4.1', 'V3.4.3']; tulio: ['V3.3.2']",,"V3.1.1, V3.3.2, V3.4.1, V3.4.3",4,0
34,Does the user story involve the implementation/change of some system authentication?,"daniel: ['V2.2.1', 'V2.5.5']",,"V2.2.1, V2.5.5",2,0
34,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
35,Does the user story involve the implementation/change of some system authentication?,"daniel: ['V2.1.1', 'V2.5.6']; victor: ['V2.1.1', 'V2.1.10', 'V2.1.11', 'V2.1.12', 'V2.1.2', 'V2.1.3', 'V2.1.4', 'V2.1.5', 'V2.1.6', 'V2.1.7', 'V2.1.8', 'V2.1.9', 'V2.5.1', 'V2.5.2', 'V2.5.3', 'V2.5.6']","V2.1.1, V2.5.6","V2.1.1, V2.1.10, V2.1.11, V2.1.12, V2.1.2, V2.1.3, V2.1.4, V2.1.5, V2.1.6, V2.1.7, V2.1.8, V2.1.9, V2.5.1, V2.5.2, V2.5.3, V2.5.6",16,2
35,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V3.7.1', 'V4.2.1', 'V8.3.1', 'V8.3.3']; tulio: ['V3.7.1']",V3.7.1,"V3.7.1, V4.2.1, V8.3.1, V8.3.3",4,1
35,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
35,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']",,"V5.3.1, V5.3.3, V5.3.4",3,0
35,Does the user story implementation involve input from the client or the environment?,"daniel: ['V12.4.1', 'V5.1.3', 'V5.1.4']; marcelo: ['V5.1.3']; victor: ['V5.1.3', 'V5.1.4']",V5.1.3,"V12.4.1, V5.1.3, V5.1.4",3,1
35,Does the user story involve some token?,"daniel: ['V3.1.1', 'V3.4.1', 'V3.4.2', 'V3.4.3']; tulio: ['V3.3.2']",,"V3.1.1, V3.3.2, V3.4.1, V3.4.2, V3.4.3",5,0
36,Does the user story involve some token?,"daniel: ['V3.4.1', 'V3.4.2', 'V3.4.3']; tulio: ['V3.3.2']",,"V3.3.2, V3.4.1, V3.4.2, V3.4.3",4,0
36,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.3', 'V5.2.6']; victor: ['V5.1.3']",V5.1.3,"V5.1.3, V5.2.6",2,1
36,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V13.1.3', 'V4.2.1', 'V8.3.1']; tulio: ['V3.7.1']",,"V13.1.3, V3.7.1, V4.2.1, V8.3.1",4,0
36,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']; tulio: ['V5.3.3']; victor: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4']",V5.3.3,"V5.3.1, V5.3.2, V5.3.3, V5.3.4",4,1
36,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
36,Does the user story implementation involve some data serialization or deserialization?,"daniel: ['V5.5.3', 'V5.5.4']",,"V5.5.3, V5.5.4",2,0
37,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.3', 'V5.1.5']",,"V5.1.3, V5.1.5",2,0
37,Does the user story involve the implementation/change of some system authentication?,"daniel: ['V2.2.1', 'V2.5.5']",,"V2.2.1, V2.5.5",2,0
37,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']; tulio: ['V5.3.3']; victor: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4']",V5.3.3,"V5.3.1, V5.3.2, V5.3.3, V5.3.4",4,1
37,Does the user story involve some token?,"daniel: ['V3.1.1', 'V3.4.1', 'V3.4.2', 'V3.4.3']; tulio: ['V3.3.2']",,"V3.1.1, V3.3.2, V3.4.1, V3.4.2, V3.4.3",5,0
37,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V13.1.3', 'V4.2.1', 'V8.3.1']; tulio: ['V3.7.1']",,"V13.1.3, V3.7.1, V4.2.1, V8.3.1",4,0
37,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
38,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
38,Does the user story implementation involve some administrative interface?,daniel: ['V4.3.1'],,V4.3.1,1,0
38,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']; tulio: ['V5.3.3']; victor: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4']",V5.3.3,"V5.3.1, V5.3.2, V5.3.3, V5.3.4",4,1
38,Does the user story involve some token?,"daniel: ['V3.1.1', 'V3.4.1', 'V3.4.2', 'V3.4.3']; tulio: ['V3.3.2']",,"V3.1.1, V3.3.2, V3.4.1, V3.4.2, V3.4.3",5,0
38,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V13.1.3', 'V4.2.1', 'V8.3.1', 'V8.3.4']; tulio: ['V3.7.1']",,"V13.1.3, V3.7.1, V4.2.1, V8.3.1, V8.3.4",5,0
38,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.3', 'V5.2.6']; victor: ['V5.1.3']",V5.1.3,"V5.1.3, V5.2.6",2,1
38,Does the user story involve the implementation/change of some system authentication?,"daniel: ['V2.2.1', 'V2.5.5']",,"V2.2.1, V2.5.5",2,0
39,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']; victor: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4']","V5.3.1, V5.3.3, V5.3.4","V5.3.1, V5.3.2, V5.3.3, V5.3.4",4,3
39,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
39,Does the user story implementation involve some administrative interface?,daniel: ['V4.3.1'],,V4.3.1,1,0
39,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.3', 'V5.2.1', 'V5.2.6']; marcelo: ['V5.1.3']; tulio: ['V5.1.3']; victor: ['V5.1.3']",V5.1.3,"V5.1.3, V5.2.1, V5.2.6",3,1
39,Does the user story involve the implementation/change of some system authentication?,"daniel: ['V2.2.1', 'V2.5.5']",,"V2.2.1, V2.5.5",2,0
39,Does the user story involve some token?,"daniel: ['V3.1.1', 'V3.4.1', 'V3.4.2', 'V3.4.3']; tulio: ['V3.3.2']",,"V3.1.1, V3.3.2, V3.4.1, V3.4.2, V3.4.3",5,0
39,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V13.1.3', 'V4.2.1', 'V8.3.4']; marcelo: ['V8.3.4']; tulio: ['V3.7.1']",,"V13.1.3, V3.7.1, V4.2.1, V8.3.4",4,0
40,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
40,Does the user story involve some token?,"daniel: ['V3.1.1', 'V3.4.1', 'V3.4.2', 'V3.4.3']; tulio: ['V3.3.2']",,"V3.1.1, V3.3.2, V3.4.1, V3.4.2, V3.4.3",5,0
40,Does the user story involve the implementation/change of some system authentication?,"daniel: ['V2.2.1', 'V2.5.5']",,"V2.2.1, V2.5.5",2,0
40,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']; tulio: ['V5.3.3']; victor: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4']",V5.3.3,"V5.3.1, V5.3.2, V5.3.3, V5.3.4",4,1
40,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V13.1.3', 'V4.2.1', 'V8.3.1']; tulio: ['V3.7.1']",,"V13.1.3, V3.7.1, V4.2.1, V8.3.1",4,0
40,Does the user story implementation involve some administrative interface?,daniel: ['V4.3.1'],,V4.3.1,1,0
40,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.3', 'V5.2.6']; victor: ['V5.1.3']",V5.1.3,"V5.1.3, V5.2.6",2,1
41,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
41,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.3', 'V5.2.1', 'V5.2.6']; marcelo: ['V5.1.3']; victor: ['V5.1.3']",V5.1.3,"V5.1.3, V5.2.1, V5.2.6",3,1
41,Does the user story involve the implementation/change of some system authentication?,"daniel: ['V2.2.1', 'V2.5.5']",,"V2.2.1, V2.5.5",2,0
41,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']; tulio: ['V5.3.3']; victor: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4']",V5.3.3,"V5.3.1, V5.3.2, V5.3.3, V5.3.4",4,1
41,Does the user story involve some token?,"daniel: ['V3.3.1', 'V3.4.1', 'V3.4.2', 'V3.4.3']; tulio: ['V3.3.2']",,"V3.3.1, V3.3.2, V3.4.1, V3.4.2, V3.4.3",5,0
41,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V13.1.3', 'V4.2.1', 'V8.3.1']; tulio: ['V3.7.1']",,"V13.1.3, V3.7.1, V4.2.1, V8.3.1",4,0
41,Does the user story implementation involve some administrative interface?,daniel: ['V4.3.1'],,V4.3.1,1,0
42,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']; tulio: ['V5.3.3']; victor: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4']",V5.3.3,"V5.3.1, V5.3.2, V5.3.3, V5.3.4",4,1
42,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.3', 'V5.2.6']",,"V5.1.3, V5.2.6",2,0
42,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
42,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V13.1.3', 'V4.2.1']",,"V13.1.3, V4.2.1",2,0
43,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
43,Does the user story involve some token?,"daniel: ['V3.4.1', 'V3.4.2', 'V3.4.3']",,"V3.4.1, V3.4.2, V3.4.3",3,0
43,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V13.1.3', 'V4.2.1']",,"V13.1.3, V4.2.1",2,0
43,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.3', 'V5.2.6']; victor: ['V5.1.3']",V5.1.3,"V5.1.3, V5.2.6",2,1
43,Does the user story implementation involve some data serialization or deserialization?,"daniel: ['V5.5.3', 'V5.5.4']",,"V5.5.3, V5.5.4",2,0
43,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']; tulio: ['V5.3.3']; victor: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4']",V5.3.3,"V5.3.1, V5.3.2, V5.3.3, V5.3.4",4,1
44,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V13.1.3', 'V4.2.1']",,"V13.1.3, V4.2.1",2,0
44,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.3', 'V5.1.5', 'V5.2.6']; victor: ['V5.1.3']",V5.1.3,"V5.1.3, V5.1.5, V5.2.6",3,1
44,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
44,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']; tulio: ['V5.3.3']; victor: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4']",V5.3.3,"V5.3.1, V5.3.2, V5.3.3, V5.3.4",4,1
45,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']; tulio: ['V5.3.3']; victor: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4']",V5.3.3,"V5.3.1, V5.3.2, V5.3.3, V5.3.4",4,1
45,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.3', 'V5.1.5']",,"V5.1.3, V5.1.5",2,0
45,Does the user story involve some token?,"daniel: ['V3.4.1', 'V3.4.2', 'V3.4.3']",,"V3.4.1, V3.4.2, V3.4.3",3,0
45,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V13.1.3', 'V4.2.1']",,"V13.1.3, V4.2.1",2,0
45,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
46,Does the user story involve some token?,"daniel: ['V3.1.1', 'V3.4.1', 'V3.4.2', 'V3.4.3']; tulio: ['V3.3.2']",,"V3.1.1, V3.3.2, V3.4.1, V3.4.2, V3.4.3",5,0
46,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
46,"Does the user story implementation involve any sensitive transactions, data, or API?",tulio: ['V3.7.1'],,V3.7.1,1,0
46,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']",,"V5.3.1, V5.3.3, V5.3.4",3,0
46,Does the user story implementation involve input from the client or the environment?,"daniel: ['V12.3.1', 'V12.4.1', 'V12.4.2', 'V5.1.3', 'V5.2.1', 'V5.2.8']; marcelo: ['V5.1.3']; tulio: ['V5.2.1']; victor: ['V5.1.3', 'V5.1.4', 'V5.2.1']",,"V12.3.1, V12.4.1, V12.4.2, V5.1.3, V5.1.4, V5.2.1, V5.2.8",7,0
47,Does the user story implementation involve input from the client or the environment?,"daniel: ['V5.1.3', 'V5.1.5']; victor: ['V5.1.3']",V5.1.3,"V5.1.3, V5.1.5",2,1
47,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
47,Does the user story involve some token?,tulio: ['V3.3.2'],,V3.3.2,1,0
47,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V4.2.1', 'V8.3.1']; tulio: ['V3.7.1', 'V8.3.1']",V8.3.1,"V3.7.1, V4.2.1, V8.3.1",3,1
47,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3']; marcelo: ['V5.3.1', 'V5.3.2', 'V5.3.3']; tulio: ['V5.3.3']; victor: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4']",V5.3.3,"V5.3.1, V5.3.2, V5.3.3, V5.3.4",4,1
48,Does the user story implementation involve input from the client or the environment?,"daniel: ['V12.3.1', 'V12.4.1', 'V5.1.3', 'V5.2.1', 'V5.2.3']; marcelo: ['V5.1.3']; victor: ['V5.1.3']",V5.1.3,"V12.3.1, V12.4.1, V5.1.3, V5.2.1, V5.2.3",5,1
48,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3']; tulio: ['V5.3.3']; victor: ['V5.3.1', 'V5.3.2', 'V5.3.3', 'V5.3.4']",V5.3.3,"V5.3.1, V5.3.2, V5.3.3, V5.3.4",4,1
48,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V4.2.1', 'V8.3.1']",,"V4.2.1, V8.3.1",2,0
48,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
49,"Does the user story implementation involve any sensitive transactions, data, or API?","daniel: ['V13.1.3', 'V4.2.1', 'V8.3.1']; tulio: ['V3.7.1']",,"V13.1.3, V3.7.1, V4.2.1, V8.3.1",4,0
49,Does the user story implementation involve any data storage in the log?,"daniel: ['V7.1.1', 'V7.1.2']",,"V7.1.1, V7.1.2",2,0
49,Does the user story implementation involve some output?,"daniel: ['V5.3.1', 'V5.3.3', 'V5.3.4']",,"V5.3.1, V5.3.3, V5.3.4",3,0
49,Does the user story involve some token?,"daniel: ['V3.1.1', 'V3.4.1', 'V3.4.2', 'V3.4.3']; tulio: ['V3.3.2']",,"V3.1.1, V3.3.2, V3.4.1, V3.4.2, V3.4.3",5,0
49,Does the user story involve the implementation/change of some system authentication?,"daniel: ['V2.2.1', 'V2.5.5']",,"V2.2.1, V2.5.5",2,0
